Model,Year_of_Manufacture,Number_of_Engines,Engine_Type,Capacity,Range_(km),Fuel_Consumption_(L/hour),Hourly_Maintenance_Cost_($),Age,Sales_Region,Price_($),Company,Age_Group,HMC_per_person,Engine_Power_Factor,Price_per_Seat,Seats_per_Engine,Company_Popularity,FuelCost_Maint_Index,Engine_to_Capacity
Bombardier CRJ200,1987,2,Turbofan,50,3000,14.36,2185.43,38,Asia,12857083.91,Bombardier,30-40,43.7086,12,257141.6782,25.0,2051,36.214299999999994,0.04
Bombardier CRJ200,1997,2,Turbofan,50,3000,4.03,1202.08,28,Europe,13914058.55,Bombardier,20-30,24.0416,12,278281.17100000003,25.0,2051,16.0508,0.04
Airbus A320,1988,2,Turbofan,180,6300,13.26,761.38,37,Australia,90735695.86,Airbus,30-40,4.229888888888889,12,504087.1992222222,90.0,4155,20.8738,0.011111111111111112
Boeing 737,2023,2,Turbofan,162,5700,14.61,592.63,2,Australia,136659689.37,Boeing,0-10,3.65820987654321,12,843578.3294444445,81.0,4132,20.5363,0.012345679012345678
Cessna 172,1985,1,Piston,4,1285,18.49,4245.99,40,South America,203798.1,Cessna,30-40,1061.4975,1,50949.525,4.0,2039,60.9499,0.25
Airbus A350,1982,2,Turbofan,350,14800,8.82,1869.09,43,Asia,354976612.82,Airbus,40+,5.340257142857142,12,1014218.8937714285,175.0,4155,27.5109,0.005714285714285714
Boeing 737,1993,2,Turbofan,162,5700,5.79,2443.75,32,Europe,57032326.56,Boeing,30-40,15.084876543209877,12,352051.39851851854,81.0,4132,30.2275,0.012345679012345678
Cessna 172,2018,1,Piston,4,1285,24.65,1814.65,7,Asia,396750.44,Cessna,0-10,453.6625,1,99187.61,4.0,2039,42.796499999999995,0.25
Cessna 172,1992,1,Piston,4,1285,41.41,2552.31,33,Australia,215144.49,Cessna,30-40,638.0775,1,53786.1225,4.0,2039,66.9331,0.25
Bombardier CRJ200,2014,2,Turbofan,50,3000,2.6,3165.87,11,Africa,16981571.17,Bombardier,10-20,63.3174,12,339631.4234,25.0,2051,34.2587,0.04
Airbus A320,2008,2,Turbofan,180,6300,4.22,3233.95,17,South America,103115871.84,Airbus,10-20,17.966388888888886,12,572865.9546666667,90.0,4155,36.5595,0.011111111111111112
Boeing 777,1980,2,Turbofan,396,15600,7.72,3579.05,45,Europe,385983616.56,Boeing,40+,9.03800505050505,12,974706.1024242424,198.0,4132,43.5105,0.005050505050505051
Bombardier CRJ200,2007,2,Turbofan,50,3000,8.44,1049.17,18,North America,17772783.25,Bombardier,10-20,20.983400000000003,12,355455.665,25.0,2051,18.9317,0.04
Boeing 777,1989,2,Turbofan,396,15600,8.76,1902.7,36,Europe,349042400.5,Boeing,30-40,4.80479797979798,12,881420.2032828283,198.0,4132,27.787,0.005050505050505051
Boeing 777,1986,2,Turbofan,396,15600,4.4,2960.2,39,Asia,426940813.36,Boeing,30-40,7.475252525252524,12,1078133.367070707,198.0,4132,34.002,0.005050505050505051
Airbus A350,1986,2,Turbofan,350,14800,4.55,898.22,39,North America,378696823.87,Airbus,30-40,2.5663428571428573,12,1081990.9253428571,175.0,4155,13.5322,0.005714285714285714
Boeing 777,2018,2,Turbofan,396,15600,6.23,703.52,7,North America,609835687.97,Boeing,0-10,1.7765656565656565,12,1539989.1110353535,198.0,4132,13.2652,0.005050505050505051
Boeing 737,2009,2,Turbofan,162,5700,6.64,4229.32,16,South America,84803923.37,Boeing,10-20,26.10691358024691,12,523481.0084567902,81.0,4132,48.9332,0.012345679012345678
Boeing 737,2004,2,Turbofan,162,5700,9.06,1764.21,21,Asia,81240277.67,Boeing,20-30,10.890185185185185,12,501483.19549382717,81.0,4132,26.7021,0.012345679012345678
Cessna 172,1998,1,Piston,4,1285,49.48,835.48,27,Australia,205472.14,Cessna,20-30,208.87,1,51368.035,4.0,2039,57.8348,0.25
Cessna 172,2003,1,Piston,4,1285,17.95,3975.1,22,South America,282880.8,Cessna,20-30,993.775,1,70720.2,4.0,2039,57.70099999999999,0.25
Airbus A320,1984,2,Turbofan,180,6300,2.96,3970.72,41,Asia,85658440.17,Airbus,40+,22.059555555555555,12,475880.2231666667,90.0,4155,42.6672,0.011111111111111112
Bombardier CRJ200,1994,2,Turbofan,50,3000,3.51,2113.1,31,North America,12475000.59,Bombardier,30-40,42.262,12,249500.0118,25.0,2051,24.641,0.04
Boeing 737,1994,2,Turbofan,162,5700,2.83,1989.04,31,Asia,69650507.55,Boeing,30-40,12.278024691358025,12,429941.40462962963,81.0,4132,22.720399999999998,0.012345679012345678
Airbus A350,1997,2,Turbofan,350,14800,6.23,1899.42,28,Africa,402568177.04,Airbus,20-30,5.426914285714286,12,1150194.7915428572,175.0,4155,25.224200000000003,0.005714285714285714
Bombardier CRJ200,2003,2,Turbofan,50,3000,8.14,4492.46,22,Europe,16455191.8,Bombardier,20-30,89.8492,12,329103.836,25.0,2051,53.0646,0.04
Boeing 777,2002,2,Turbofan,396,15600,11.27,1038.17,23,Europe,477861066.66,Boeing,20-30,2.6216414141414144,12,1206719.8653030305,198.0,4132,21.651699999999998,0.005050505050505051
Bombardier CRJ200,1997,2,Turbofan,50,3000,8.42,3969.35,28,Australia,13932179.15,Bombardier,20-30,79.387,12,278643.583,25.0,2051,48.1135,0.04
Bombardier CRJ200,2021,2,Turbofan,50,3000,7.56,2852.3,4,Asia,23385809.92,Bombardier,0-10,57.04600000000001,12,467716.19840000005,25.0,2051,36.083000000000006,0.04
Cessna 172,2020,1,Piston,4,1285,30.34,1914.6,5,Europe,389745.75,Cessna,0-10,478.65,1,97436.4375,4.0,2039,49.486000000000004,0.25
Cessna 172,1995,1,Piston,4,1285,19.97,4584.05,30,Europe,245284.2,Cessna,20-30,1146.0125,1,61321.05,4.0,2039,65.8105,0.25
Airbus A350,2004,2,Turbofan,350,14800,3.0,1529.59,21,North America,437745351.34,Airbus,20-30,4.370257142857143,12,1250701.0038285714,175.0,4155,18.2959,0.005714285714285714
Bombardier CRJ200,2015,2,Turbofan,50,3000,4.1,1803.88,10,Europe,22142984.74,Bombardier,0-10,36.077600000000004,12,442859.69479999994,25.0,2051,22.138800000000003,0.04
Bombardier CRJ200,2000,2,Turbofan,50,3000,4.43,4116.52,25,Asia,13469724.32,Bombardier,20-30,82.33040000000001,12,269394.4864,25.0,2051,45.595200000000006,0.04
Airbus A320,1982,2,Turbofan,180,6300,9.01,4516.52,43,North America,72859502.28,Airbus,40+,25.09177777777778,12,404775.01266666665,90.0,4155,54.175200000000004,0.011111111111111112
Airbus A350,1997,2,Turbofan,350,14800,7.55,1525.71,28,Asia,360117097.64,Airbus,20-30,4.359171428571429,12,1028905.9932571428,175.0,4155,22.807100000000002,0.005714285714285714
Airbus A320,2016,2,Turbofan,180,6300,13.19,4181.07,9,Australia,134849581.51,Airbus,0-10,23.228166666666667,12,749164.3417222222,90.0,4155,55.000699999999995,0.011111111111111112
Boeing 777,1993,2,Turbofan,396,15600,4.89,2378.35,32,Australia,388254065.98,Boeing,30-40,6.005934343434343,12,980439.5605555556,198.0,4132,28.6735,0.005050505050505051
Airbus A350,2005,2,Turbofan,350,14800,6.39,1039.39,20,Australia,468878805.55,Airbus,10-20,2.9696857142857147,12,1339653.7301428572,175.0,4155,16.7839,0.005714285714285714
Airbus A350,1989,2,Turbofan,350,14800,11.14,2834.56,36,North America,387359980.08,Airbus,30-40,8.098742857142858,12,1106742.8002285713,175.0,4155,39.485600000000005,0.005714285714285714
Airbus A320,1995,2,Turbofan,180,6300,14.63,2136.33,30,Australia,63325195.66,Airbus,20-30,11.8685,12,351806.64255555556,90.0,4155,35.9933,0.011111111111111112
Cessna 172,2014,1,Piston,4,1285,11.48,1781.78,11,North America,349541.06,Cessna,10-20,445.445,1,87385.265,4.0,2039,29.297800000000002,0.25
Bombardier CRJ200,2017,2,Turbofan,50,3000,8.53,3243.04,8,Africa,20843194.48,Bombardier,0-10,64.8608,12,416863.8896,25.0,2051,40.9604,0.04
Cessna 172,2005,1,Piston,4,1285,29.58,1152.03,20,North America,281786.25,Cessna,10-20,288.0075,1,70446.5625,4.0,2039,41.1003,0.25
Airbus A320,1988,2,Turbofan,180,6300,5.15,4935.43,37,South America,87316106.71,Airbus,30-40,27.419055555555556,12,485089.4817222222,90.0,4155,54.5043,0.011111111111111112
Airbus A350,1985,2,Turbofan,350,14800,11.47,1569.37,40,Asia,400312207.5,Airbus,30-40,4.4839142857142855,12,1143749.1642857143,175.0,4155,27.1637,0.005714285714285714
Boeing 737,1989,2,Turbofan,162,5700,10.22,2155.02,36,Australia,67183903.98,Boeing,30-40,13.302592592592593,12,414715.45666666667,81.0,4132,31.770200000000003,0.012345679012345678
Airbus A320,2023,2,Turbofan,180,6300,12.86,906.3,2,Africa,191050892.95,Airbus,0-10,5.035,12,1061393.8497222222,90.0,4155,21.923000000000002,0.011111111111111112
Cessna 172,1984,1,Piston,4,1285,17.46,1943.51,41,Africa,215830.96,Cessna,40+,485.8775,1,53957.74,4.0,2039,36.8951,0.25
Airbus A350,2018,2,Turbofan,350,14800,2.22,3549.04,7,Africa,636428287.19,Airbus,0-10,10.140114285714285,12,1818366.5348285716,175.0,4155,37.7104,0.005714285714285714
Cessna 172,1996,1,Piston,4,1285,19.06,2804.42,29,South America,190999.82,Cessna,20-30,701.105,1,47749.955,4.0,2039,47.1042,0.25
Boeing 737,2023,2,Turbofan,162,5700,7.03,3609.22,2,Australia,132930259.08,Boeing,0-10,22.279135802469135,12,820557.1548148148,81.0,4132,43.1222,0.012345679012345678
Boeing 737,2023,2,Turbofan,162,5700,3.79,4715.28,2,South America,116978442.29,Boeing,0-10,29.106666666666666,12,722089.1499382716,81.0,4132,50.9428,0.012345679012345678
Boeing 777,2021,2,Turbofan,396,15600,13.41,4661.12,4,North America,738770404.75,Boeing,0-10,11.77050505050505,12,1865581.8301767677,198.0,4132,60.02119999999999,0.005050505050505051
